aleman,espanol,nivel
Der mann,El hombre,A1
Die danke,El gracias,A1
Die zeit,El tiempo,A1
Die frau,La mujer,A1
Das leid,Lo lamento,A1
Der gott,El dios,A1
Der vater,El padre,A1
Der tag,El dia,A1
Die liebe,Amar,A1
Das geld,El dinero,A1
Die mutter,La madre,A1
Der sir,El señor,A1
Die nacht,La noche,A1
Die ordnung,El orden,A1
Das mädchen,La chica,A1
Das hause,El hogar,A1
Der freund,El amigo,A1
Das haus,La casa,A1
Die musik,La musica,A1
Die angst,El miedo,A1
Die welt,El mundo,A1
Die scheiße,Esa mierda,A1
Der herr,El caballero,A1
Der moment,El momento,A1
Die arbeit,La obra,A1
Der sohn,El hijo,A1
Die familie,La familia,A1
Die sache,La cosa,A1
Das problem,El problema,A1
Die hilfe,La ayuda,A1
Das kind,El niño,A1
Der fall,El caso,A1
Die frage,La pregunta,A1
Die stadt,La ciudad,A1
Der kopf,La cabeza,A1
Die uhr,El reloj,A1
Das ende,El fin,A1
Das glück,La felicidad,A1
Die polizei,La policia,A1
Die tür,La puerta,A1
Die ahnung,La pista,A1
Der teufel,El diablo,A1
Der name,El nombre,A1
Die tochter,La hija,A1
Die hand,La mano,A1
Die schau,La mirada,A1
Die mama,La mamá,A1
Die art,El tipo,A1
Die ruhe,La calma,A1
Die idee,La idea,A1
Der grund,La razón,A1
Das jahr,El año,A1
Das wasser,El agua,A1
Die schwester,La hermana,A1
Der tod,La muerte,A1
Die geschichte,La historia,A1
Das land,El pais,A1
Die wahrheit,La verdad,A1
Der mom,La mamá,A1
Der ort,El lugar,A1
Die seite,La pagina,A1
Der krieg,La guerra,A1
Das spiel,El juego,A1
Die woche,La semana,A1
Der schatz,El querido,A1
Der spaß,La diversion,A1
Die chance,La oportunidad,A1
Die entschuldigung,La disculpa,A1
Das bett,La cama,A1
Das wort,La palabra,A1
Das gesicht,La cara,A1
Der typ,El chico,A1
Der mensch,El ser humano,A1
Die miss,La señorita,A1
Das hättest,Tendrías,A1
Der teil,La parte,A1
Das herz,El corazon,A1
Der papa,El papa,A1
Das blut,La sangre,A1
Die schule,La escuela,A1
Der jack,El gato,A1
Die waffe,El arma,A1
Die sorge,La preocupacion,A1
Der platz,El espacio,A1
Die nummer,El numero,A1
Der dollar,El dolar,A1
Die menge,La cantidad,A1
Die hölle,Infierno,A1
Die rede,El discurso,A1
Das telefon,El telefono,A1
Der doktor,El doctor,A1
Die stunde,La hora,A1
Der plan,El plan,A1
Der hund,El perro,A1
Der film,La película,A1
Der ruf,La reputacion,A1
Das feuer,El fuego,A1
Das büro,La oficina,A1
Der könig,El rey,A1
Die luft,El aire,A1
Die stelle,El lugar,A1
Der könntest,El podria,A1
Der kaffee,El cafe,A1
Die straße,La calle,A1
Die suche,La busqueda,A1
Das buch,Biblia,A1
Das stück,La pieza,A1
Der lch,El yo,A1
Der arzt,El doctor,A1
Der himmel,El cielo,A1
Die nachricht,El mensaje,A1
Der onkel,El tio,A1
Das licht,La luz,A1
Der körper,El cuerpo,A1
Die wahl,La eleccion,A1
Der rest,El resto,A1
Das gefühl,El sentimiento,A1
Die schlüssel,La clave,A1
Die zukunft,El futuro,A1
Der versuch,El intento,A1
Das gefängnis,La prision,A1
Der sinn,El significado,A1
Die wohnung,El apartamento,A1
Die person,La persona,A1
Der mund,La boca,A1
Der boden,El piso,A1
Die klasse,La clase,A1
Das setz,Ese conjunto,A1
Die sicherheit,La seguridad,A1
Das zeug,Esas cosas,A1
Der mr,El señor,A1
Der zeig,El espectáculo,A1
Der mörder,El asesino,A1
Die stimme,La voz,A1
Der wärst,Ese serias tu,A1
Die meinung,La opinion,A1
Die verzeihung,El indulto,A1
Das lebens,La vida,A1
Der kampf,La pelea,A1
Die nähe,La cercanía,A1
Das team,El equipo,A1
Das bild,La imagen,A1
Der mord,El asesinato,A1
Der zieh,El tira,A1
Die antwort,La respuesta,A1
Der traum,El sueño,A1
Der general,El general,A1
Das hotel,El hotel,A1
Das ziel,El objetivo,A1
Der ärger,El problema,A1
Das handy,El telefono,A1
Die bewegung,El movimiento,A1
Die hilf,La ayuda,A1
Das rum,Eso es todo,A1
Der augenblick,El momento,A1
