aleman,espanol
Der mann,El hombre
Die danke,El gracias
Die zeit,El tiempo
Die frau,La mujer
Das leid,Lo lamento
Der gott,El dios
Der vater,El padre
Der tag,El dia
Die liebe,Amar
Das geld,El dinero
Die mutter,La madre
Der sir,El señor
Die nacht,La noche
Die ordnung,El orden
Das mädchen,La chica
Das hause,El hogar
Der freund,El amigo
Das haus,La casa
Der menschen,De personas
Die musik,La musica
Die angst,El miedo
Die welt,El mundo
Die scheiße,Esa mierda
Der herr,El caballero
Das kinder,Los niños
Der moment,El momento
Die arbeit,La obra
Das jahre,Esos años
Der sohn,El hijo
Die familie,La familia
Die sache,La cosa
Das problem,El problema
Der bruder,El hermano
Die hilfe,La ayuda
Das kind,El niño
Das jahren,Eso son años
Der fall,El caso
Die frage,La pregunta
Die stadt,La ciudad
Der kopf,La cabeza
Der männer,De los hombres
Der namen,El nombre
Die uhr,El reloj
Das ende,El fin
Das glück,La felicidad
Das dinge,Que cosas
Der freunde,De amigos
Die minuten,Los minutos
Das augen,Los ojos
Die polizei,La policia
Der eure,Tuyo
Die tür,La puerta
Die ahnung,La pista
Der teufel,El diablo
Der name,El nombre
Die tochter,La hija
Die frauen,Las mujeres
Die hand,La mano
Die schau,La mirada
Die mama,La mamá
Die art,El tipo
Die ruhe,La calma
Die idee,La idea
Der grund,La razón
Das jahr,El año
Das wasser,El agua
Die schwester,La hermana
Der tod,La muerte
Die geschichte,La historia
Das land,El pais
Die stunden,Las horas
Die wahrheit,La verdad
Der mom,La mamá
Der ort,El lugar
Die zimmer,Las habitaciones
Die seite,La pagina
Der krieg,La guerra
Das spiel,El juego
Die woche,La semana
Der schatz,El querido
Der spaß,La diversion
Der tage,De los dias
Die chance,La oportunidad
Die entschuldigung,La disculpa
Das bett,La cama
Das wort,La palabra
Das gesicht,La cara
Der typ,El chico
Der mensch,El ser humano
Die miss,La señorita
Das hättest,Tendrías
Der teil,La parte
Das herz,El corazon
Der papa,El papa
Das blut,La sangre
Die schule,La escuela
Der jack,El gato
Die waffe,El arma
Die sorge,La preocupacion
Der platz,El espacio
Die nummer,El numero
Der dollar,El dolar
Die menge,La cantidad
Die hölle,Infierno
Die rede,El discurso
Die hände,Las manos
Das telefon,El telefono
Der doktor,El doctor
Der fehler,El error
Die stunde,La hora
Der plan,El plan
Der hund,El perro
Der film,La película
Der ruf,La reputacion
Die wochen,Las semanas
Das feuer,El fuego
Das büro,La oficina
Der kumpel,El amigo
Der könig,El rey
Der hol,Las vacaciones
Die luft,El aire
Die stelle,El lugar
Das probleme,Los problemas
Der könntest,El podria
Der kaffee,El cafe
Die straße,La calle
Die suche,La busqueda
Das buch,Biblia
Das stück,La pieza
Der lch,El yo
Der arzt,El doctor
Die typen,Los chicos
Der himmel,El cielo
Die nachricht,El mensaje
Der onkel,El tio
Die waffen,Las armas
Das licht,La luz
Der körper,El cuerpo
Die wahl,La eleccion
Der rest,El resto
Der schätze,La suposición
Das gefühl,El sentimiento
Die schlüssel,La clave
Die millionen,Los millones
